Date,Time,Blaine_After_HPGR
3/21/2019,5:05,1917
3/21/2019,7:05,1917
3/21/2019,9:05,1890
3/21/2019,11:05,1917
3/21/2019,13:05,1943
3/21/2019,15:05,1890
3/21/2019,17:10,1779
3/21/2019,19:05,1750
3/21/2019,21:05,1890
3/21/2019,23:05,1863
3/22/2019,1:05,1917
3/22/2019,3:05,1970
3/22/2019,5:05,1779
3/22/2019,7:30,1917
3/22/2019,9:05,1917
3/22/2019,11:05,2021
3/22/2019,13:05,1863
3/22/2019,15:05,1863
3/22/2019,17:05,2046
3/22/2019,19:05,2071
3/22/2019,21:05,1863
3/22/2019,23:05,1890
3/23/2019,1:05,1917
3/23/2019,3:05,1943
3/23/2019,5:05,2021
3/23/2019,7:05,1890
3/23/2019,9:05,1995
3/23/2019,11:05,1943
3/23/2019,13:20,1943
3/23/2019,14:00,2071
3/23/2019,15:05,2095
3/23/2019,17:05,2071
3/23/2019,19:05,2071
3/23/2019,21:05,2046
3/23/2019,23:05,1995
3/24/2019,1:05,1995
3/24/2019,3:05,2021
3/24/2019,5:05,2046
3/24/2019,7:05,2021
3/24/2019,9:05,2021
3/24/2019,11:05,2021
3/24/2019,13:05,2021
3/24/2019,17:05,2071
3/24/2019,19:05,2046
3/24/2019,21:05,2046
3/24/2019,23:05,2021
3/25/2019,1:05,2046
3/25/2019,3:05,2071
3/25/2019,5:05,2021
3/25/2019,7:15,1943
3/25/2019,9:05,2046
3/25/2019,17:05,2071
3/25/2019,19:05,2071
3/25/2019,21:05,2095
3/25/2019,23:15,2021
3/26/2019,1:05,2021
3/26/2019,3:05,2046
3/26/2019,5:05,1943
3/26/2019,7:05,1970
3/26/2019,9:05,1970
3/26/2019,11:05,1970
3/26/2019,13:05,2071
3/26/2019,15:05,2071
3/26/2019,17:05,2095
3/26/2019,19:05,2021
3/26/2019,23:05,2046
3/27/2019,1:05,2046
3/27/2019,3:05,2095
3/27/2019,5:05,2021
3/27/2019,7:05,1943
3/27/2019,9:05,2046
3/27/2019,13:05,1995
3/27/2019,15:05,1995
3/27/2019,17:05,2046
3/27/2019,19:05,2046
3/27/2019,21:05,2021
3/27/2019,23:05,2046
3/28/2019,1:05,1995
3/28/2019,3:05,2071
3/28/2019,5:05,2095
3/28/2019,7:05,2095
3/28/2019,9:05,2095
3/28/2019,11:05,1835
3/28/2019,13:05,1995
3/28/2019,15:05,1943
3/28/2019,17:05,1970
3/28/2019,19:05,2021
3/28/2019,21:05,1970
3/28/2019,23:05,2021
3/29/2019,1:05,2021
3/29/2019,3:05,1970
3/29/2019,5:05,2046
3/29/2019,7:05,2046
3/29/2019,9:05,2021
3/29/2019,11:15,2046
3/29/2019,13:05,1943
3/29/2019,15:05,1970
3/29/2019,17:05,2021
3/29/2019,19:05,1995
3/29/2019,21:05,2071
3/29/2019,23:05,1995
3/30/2019,1:05,1970
3/30/2019,3:05,1970
3/30/2019,5:05,1970
3/30/2019,7:05,1970
3/30/2019,9:05,1890
3/30/2019,11:05,2214
3/30/2019,13:05,2071
3/30/2019,15:05,1863
3/30/2019,17:05,1917
3/30/2019,19:05,1943
3/30/2019,21:05,2021
3/30/2019,23:05,1890
3/31/2019,1:05,1890
3/31/2019,3:05,1995
3/31/2019,5:05,2021
3/31/2019,7:05,2046
3/31/2019,9:05,1995
3/31/2019,11:05,1995
3/31/2019,13:05,1943
3/31/2019,15:05,1943
3/31/2019,17:05,2046
3/31/2019,19:05,1890
3/31/2019,21:05,1970
3/31/2019,23:05,1835
4/1/2019,1:05,1890
4/1/2019,3:05,1943
4/1/2019,5:05,2021
4/1/2019,7:05,2046
4/1/2019,9:00,2021
4/1/2019,11:05,1970
4/1/2019,13:05,2021
4/1/2019,15:05,2021
4/1/2019,17:05,2021
4/1/2019,19:05,1995
4/1/2019,21:05,2021
4/2/2019,1:05,2046
4/2/2019,3:05,1943
4/2/2019,5:05,1943
4/2/2019,7:05,1917
4/2/2019,9:05,1917
4/2/2019,11:05,1917
4/2/2019,13:05,2021
4/2/2019,15:05,2071
4/2/2019,17:15,2021
4/2/2019,19:05,1995
4/2/2019,21:05,2046
4/2/2019,23:05,2021
4/3/2019,1:05,1995
4/3/2019,3:05,2046
4/3/2019,5:05,1890
4/3/2019,7:15,1943
4/3/2019,9:05,2021
4/3/2019,11:05,1995
4/3/2019,13:15,2021
4/3/2019,15:05,2071
4/3/2019,17:05,1995
4/3/2019,19:05,2071
4/3/2019,21:05,2071
4/3/2019,23:05,2021
4/4/2019,1:05,2071
4/4/2019,3:05,1943
4/4/2019,5:05,2071
4/4/2019,7:05,1970
4/4/2019,9:05,1917
4/4/2019,10:50,2046
4/4/2019,13:05,2021
4/4/2019,15:05,1995
4/4/2019,17:25,2021
4/4/2019,19:05,1970
4/4/2019,21:05,2119
4/4/2019,23:05,2071
4/5/2019,1:05,2021
4/5/2019,3:05,2071
4/5/2019,5:05,2021
4/5/2019,7:05,2046
4/5/2019,11:05,2119
4/5/2019,13:05,1995
4/5/2019,15:05,1995
4/5/2019,17:05,2021
4/5/2019,19:05,2046
4/5/2019,21:05,2143
4/5/2019,23:05,2095
4/6/2019,1:05,2119
4/6/2019,3:05,2095
4/6/2019,5:05,2143
4/6/2019,7:05,2143
4/6/2019,9:05,2143
4/6/2019,11:05,2167
4/6/2019,13:05,1807
4/6/2019,15:05,2119
4/6/2019,17:05,2119
4/6/2019,19:05,2046
4/6/2019,21:10,2046
4/6/2019,23:05,2119
4/7/2019,1:05,2071
4/7/2019,3:05,2021
4/7/2019,5:05,2095
4/7/2019,7:05,2119
4/7/2019,9:05,2119
4/7/2019,11:05,2046
4/7/2019,13:05,2095
4/7/2019,15:05,1943
4/7/2019,19:05,2071
4/7/2019,21:05,2021
4/9/2019,19:05,2143
4/9/2019,21:05,1863
4/9/2019,23:05,2071
4/10/2019,1:05,2046
4/10/2019,7:05,2370
4/10/2019,9:40,2095
4/10/2019,11:05,2046
4/10/2019,13:05,2071
4/10/2019,15:05,2095
4/10/2019,17:05,2167
4/10/2019,19:05,2119
4/10/2019,21:00,2143
4/11/2019,1:05,2119
4/11/2019,3:05,2119
4/11/2019,5:05,2071
4/11/2019,7:05,2071
4/11/2019,9:05,2071
4/11/2019,11:05,2046
4/11/2019,13:05,2167
4/11/2019,15:05,2214
4/11/2019,17:05,2167
4/11/2019,19:05,2143
4/11/2019,21:05,2119
4/11/2019,23:05,2095
