Date,Time,FeO_Before_Mixer
3/21/2019,2:00,21.51
3/21/2019,10:00,21.97
3/21/2019,18:00,21.66
3/22/2019,2:00,21.47
3/22/2019,10:00,21.66
3/22/2019,18:00,21.66
3/23/2019,2:00,21.47
3/23/2019,10:00,22.08
3/23/2019,18:00,20.82
3/24/2019,2:00,21.36
3/24/2019,10:00,21
3/24/2019,18:00,21.36
3/25/2019,2:00,21.38
3/25/2019,10:00,22.69
3/25/2019,18:00,22.23
3/26/2019,2:00,21.05
3/26/2019,10:00,21.5
3/26/2019,18:00,21.77
3/27/2019,2:00,22.27
3/27/2019,10:00,20.9
3/27/2019,18:00,21.77
3/28/2019,2:00,20.7
3/28/2019,10:00,20.9
3/28/2019,18:00,22.69
3/29/2019,2:00,21.46
3/29/2019,10:00,21.66
3/29/2019,18:00,22.27
3/30/2019,2:00,23.1
3/30/2019,10:00,22.43
3/30/2019,18:00,22.73
3/31/2019,2:00,23.61
3/31/2019,10:00,23
3/31/2019,18:00,23.96
4/1/2019,2:00,24.1
4/1/2019,10:00,24.22
4/1/2019,18:00,23.64
4/2/2019,2:00,22.73
4/2/2019,10:00,24.25
4/2/2019,18:00,24.07
4/3/2019,2:00,23.95
4/3/2019,10:00,22.65
4/3/2019,18:00,23.92
4/4/2019,2:00,22.73
4/4/2019,10:00,23.65
4/4/2019,18:00,22.69
4/5/2019,2:00,22.69
4/5/2019,10:00,21.51
4/5/2019,18:00,22.68
4/6/2019,2:00,22.54
4/6/2019,10:00,21.51
4/6/2019,18:00,21.2
4/7/2019,2:00,22.88
4/7/2019,10:00,21.81
4/7/2019,18:00,22.88
4/10/2019,10:00,21.05
4/10/2019,18:00,21.77
4/11/2019,2:00,21.51
4/11/2019,10:00,23.11
4/11/2019,18:00,20.7
4/12/2019,2:00,21.59
4/12/2019,10:00,20.14
4/12/2019,18:00,21.97
4/13/2019,2:00,22.23
4/13/2019,10:00,21.36
4/13/2019,18:00,21.05
4/14/2019,2:00,21.46
4/14/2019,10:00,23.19
4/14/2019,18:10,23.04
4/15/2019,2:00,22.5
4/15/2019,10:00,22.88
4/15/2019,18:00,22.27
4/16/2019,2:00,21.89
4/16/2019,10:00,22.23
4/16/2019,18:00,21.05
4/17/2019,2:00,21.81
4/17/2019,10:00,21.46
4/17/2019,18:00,21.66
4/18/2019,2:00,22.81
4/18/2019,10:00,21.8
4/18/2019,18:00,23.4
4/19/2019,2:00,21.05
4/19/2019,10:00,21.81
4/19/2019,18:00,20.6
4/20/2019,2:00,19.26
4/20/2019,10:00,21.7
4/20/2019,18:00,19.6
4/21/2019,2:00,22.78
4/21/2019,10:00,22.85
4/21/2019,18:00,23.5
4/22/2019,2:00,22.57
4/22/2019,10:00,22.28
4/22/2019,18:00,22.7
4/23/2019,2:00,22.78
4/23/2019,10:00,22.28
4/23/2019,18:00,22.27
4/24/2019,2:00,22.3
4/24/2019,10:00,22.49
4/24/2019,18:00,23.57
4/25/2019,2:00,23.71
4/25/2019,10:00,23.36
4/25/2019,18:00,21.56
4/26/2019,2:00,21.7
4/26/2019,10:00,22.35
4/26/2019,18:00,21.34
4/27/2019,2:00,21.13
4/27/2019,10:00,21.68
4/27/2019,18:00,21.19
4/28/2019,2:00,20.55
4/28/2019,10:00,22.13
4/28/2019,18:00,21.99
4/29/2019,2:00,21.34
4/29/2019,10:00,21.7
4/29/2019,18:00,22.2
4/30/2019,2:00,21.92
4/30/2019,10:00,21.27
4/30/2019,18:00,22.13
5/1/2019,2:00,20.97
5/1/2019,10:00,21.85
5/1/2019,18:00,21.7
5/2/2019,2:00,21.99
5/2/2019,10:00,22.49
5/2/2019,18:00,21.7
5/3/2019,2:00,22.56
5/3/2019,10:00,22.78
5/3/2019,18:00,21.85
5/4/2019,2:00,22.27
5/4/2019,10:00,22.99
5/4/2019,18:00,22.71
5/5/2019,2:00,22.27
5/5/2019,10:00,22.13
5/5/2019,18:00,22.64
5/6/2019,2:00,21.41
5/6/2019,10:00,22.13
5/6/2019,18:00,23.85
5/7/2019,2:00,23.22
5/7/2019,10:00,22.27
5/7/2019,18:00,22.78
5/8/2019,2:00,24.23
5/8/2019,10:00,23.25
5/8/2019,18:00,23.53
5/9/2019,2:00,21.8
5/9/2019,10:00,22.42
5/9/2019,18:00,23.14
5/10/2019,2:00,23.85
5/10/2019,10:00,23.42
5/10/2019,18:00,22.13
5/11/2019,2:00,23.28
5/11/2019,10:00,23.86
5/11/2019,18:00,23.57
5/12/2019,2:00,24.57
5/12/2019,10:00,20.54
5/12/2019,18:00,23.32
5/13/2019,2:00,22.85
5/13/2019,10:00,24
5/13/2019,18:00,23.33
5/14/2019,2:00,23.14
5/14/2019,10:00,24.14
5/14/2019,18:00,24.43
5/15/2019,2:00,23.61
5/15/2019,10:00,23.42
5/15/2019,18:00,22.85
5/16/2019,2:00,22.75
5/16/2019,10:00,23.28
5/16/2019,18:00,22.42
5/17/2019,2:00,23.17
5/17/2019,10:00,21.27
5/17/2019,18:00,21.56
5/18/2019,2:00,21.41
5/18/2019,10:00,21.31
5/18/2019,18:00,20.84
5/19/2019,2:00,21.7
5/19/2019,10:00,21.41
5/19/2019,18:00,21.12
5/20/2019,2:00,21.99
5/20/2019,10:00,21.99
5/20/2019,18:00,21.31
5/21/2019,2:00,20.84
5/21/2019,10:00,22.17
5/21/2019,18:00,20.88
5/22/2019,2:00,19.69
5/22/2019,10:00,21.56
5/22/2019,18:00,20.3
5/23/2019,2:00,20.16
5/23/2019,10:00,19.54
5/23/2019,18:00,19.9
5/24/2019,2:00,18.86
5/24/2019,10:00,18.54
5/24/2019,18:00,19.2
5/25/2019,2:00,22.12
5/25/2019,10:00,20.63
5/25/2019,18:00,20.63
5/26/2019,2:00,20.26
5/26/2019,18:00,19.26
5/28/2019,2:00,20.84
5/28/2019,10:00,21.12
5/28/2019,18:00,21.74
5/29/2019,2:00,19.83
5/29/2019,10:00,22.27
5/29/2019,18:00,21.16
5/30/2019,2:00,21.41
5/30/2019,10:00,21.84
5/30/2019,18:00,22.27
5/31/2019,2:00,22.31
5/31/2019,10:00,21.7
5/31/2019,18:00,22.25
6/1/2019,2:00,21.59
6/1/2019,10:00,21.56
6/1/2019,18:00,21.27
6/2/2019,2:00,21.7
6/2/2019,10:00,21.66
6/2/2019,18:00,21.41
6/3/2019,2:00,21.74
6/3/2019,10:00,22.03
6/3/2019,18:00,21.41
6/4/2019,2:00,20.98
6/4/2019,10:00,21.45
6/4/2019,18:00,20.98
6/5/2019,2:00,20.98
6/5/2019,10:00,20.98
6/5/2019,18:00,20.88
6/6/2019,2:00,20.71
6/6/2019,10:00,20.55
6/6/2019,18:00,21.05
6/7/2019,2:00,20.69
6/7/2019,10:00,21.41
6/7/2019,18:00,20.7
6/8/2019,2:00,21.63
6/8/2019,10:00,21.85
6/8/2019,18:00,21.09
6/9/2019,2:00,21.06
6/9/2019,10:00,21.56
6/9/2019,18:00,20.99
6/10/2019,2:00,22.3
6/10/2019,10:00,21.56
6/10/2019,18:00,22.13
6/11/2019,2:00,22.1
6/13/2019,2:00,21.14
6/13/2019,10:00,21.81
6/13/2019,18:00,20.35
6/14/2019,18:00,20.78
6/15/2019,18:00,20.92
6/16/2019,2:00,20.92
6/16/2019,10:00,20.85
6/16/2019,18:00,20.5
6/17/2019,2:00,20.63
6/17/2019,10:00,19.86
6/17/2019,18:00,21.28
6/18/2019,2:00,20.07
6/18/2019,10:00,20.57
6/18/2019,18:00,20.14
6/19/2019,2:00,22.05
6/19/2019,10:00,20.78
6/19/2019,18:00,21.28
6/20/2019,2:00,22.56
6/20/2019,10:00,21.63
6/20/2019,18:00,21.13
6/21/2019,2:00,23.41
6/21/2019,10:00,23.03
6/22/2019,10:00,22.28
6/22/2019,18:00,21.35
6/23/2019,2:00,21.56
6/23/2019,10:00,21.7
6/23/2019,18:00,22.28
6/24/2019,2:00,20.21
6/24/2019,10:00,19.15
6/24/2019,18:00,22.2
6/25/2019,2:00,21.92
6/25/2019,10:00,20.57
6/25/2019,18:00,21.14
6/26/2019,2:00,23.34
6/26/2019,10:00,21.28
6/26/2019,18:00,21.99
6/27/2019,2:00,21.15
6/27/2019,10:00,20.92
6/27/2019,18:00,21.56
6/28/2019,2:00,22.13
6/28/2019,10:00,21.56
6/28/2019,18:00,21.42
6/29/2019,2:00,21.21
6/29/2019,10:00,22.2
6/29/2019,18:00,22.77
6/30/2019,2:00,21.63
6/30/2019,10:00,22.85
6/30/2019,18:00,23.05
7/1/2019,2:00,22.13
7/1/2019,10:00,22.55
7/1/2019,18:00,23.34
7/2/2019,2:00,22.77
7/2/2019,10:00,20.85
7/2/2019,18:00,23.9
7/3/2019,2:00,22.63
7/3/2019,10:00,22.98
7/3/2019,18:00,22.55
7/4/2019,2:00,22.15
7/4/2019,10:00,21.28
7/4/2019,18:00,22.13
7/5/2019,2:00,22
7/5/2019,10:00,21.63
7/5/2019,18:00,22.7
7/6/2019,2:00,22.98
7/6/2019,10:00,22.13
7/6/2019,18:00,21.42
7/7/2019,2:00,22.7
7/7/2019,10:00,22.49
7/7/2019,18:00,22.35
7/8/2019,2:00,21.7
