Date,Blaine_After_HPGR
3/21/2019,1917
3/21/2019,1917
3/21/2019,1890
3/21/2019,1917
3/21/2019,1943
3/21/2019,1890
3/21/2019,1779
3/21/2019,1750
3/21/2019,1890
3/21/2019,1863
3/22/2019,1917
3/22/2019,1970
3/22/2019,1779
3/22/2019,1917
3/22/2019,1917
3/22/2019,2021
3/22/2019,1863
3/22/2019,1863
3/22/2019,2046
3/22/2019,2071
3/22/2019,1863
3/22/2019,1890
3/23/2019,1917
3/23/2019,1943
3/23/2019,2021
3/23/2019,1890
3/23/2019,1995
3/23/2019,1943
3/23/2019,1943
3/23/2019,2071
3/23/2019,2095
3/23/2019,2071
3/23/2019,2071
3/23/2019,2046
3/23/2019,1995
3/24/2019,1995
3/24/2019,2021
3/24/2019,2046
3/24/2019,2021
3/24/2019,2021
3/24/2019,2021
3/24/2019,2021
3/24/2019,2071
3/24/2019,2046
3/24/2019,2046
3/24/2019,2021
3/25/2019,2046
3/25/2019,2071
3/25/2019,2021
3/25/2019,1943
3/25/2019,2046
3/25/2019,2071
3/25/2019,2071
3/25/2019,2095
3/25/2019,2021
3/26/2019,2021
3/26/2019,2046
3/26/2019,1943
3/26/2019,1970
3/26/2019,1970
3/26/2019,1970
3/26/2019,2071
3/26/2019,2071
3/26/2019,2095
3/26/2019,2021
3/26/2019,2046
3/27/2019,2046
3/27/2019,2095
3/27/2019,2021
3/27/2019,1943
3/27/2019,2046
3/27/2019,1995
3/27/2019,1995
3/27/2019,2046
3/27/2019,2046
3/27/2019,2021
3/27/2019,2046
3/28/2019,1995
3/28/2019,2071
3/28/2019,2095
3/28/2019,2095
3/28/2019,2095
3/28/2019,1835
3/28/2019,1995
3/28/2019,1943
3/28/2019,1970
3/28/2019,2021
3/28/2019,1970
3/28/2019,2021
3/29/2019,2021
3/29/2019,1970
3/29/2019,2046
3/29/2019,2046
3/29/2019,2021
3/29/2019,2046
3/29/2019,1943
3/29/2019,1970
3/29/2019,2021
3/29/2019,1995
3/29/2019,2071
3/29/2019,1995
3/30/2019,1970
3/30/2019,1970
3/30/2019,1970
3/30/2019,1970
3/30/2019,1890
3/30/2019,2214
3/30/2019,2071
3/30/2019,1863
3/30/2019,1917
3/30/2019,1943
3/30/2019,2021
3/30/2019,1890
3/31/2019,1890
3/31/2019,1995
3/31/2019,2021
3/31/2019,2046
3/31/2019,1995
3/31/2019,1995
3/31/2019,1943
3/31/2019,1943
3/31/2019,2046
3/31/2019,1890
3/31/2019,1970
3/31/2019,1835
4/1/2019,1890
4/1/2019,1943
4/1/2019,2021
4/1/2019,2046
4/1/2019,2021
4/1/2019,1970
4/1/2019,2021
4/1/2019,2021
4/1/2019,2021
4/1/2019,1995
4/1/2019,2021
4/2/2019,2046
4/2/2019,1943
4/2/2019,1943
4/2/2019,1917
4/2/2019,1917
4/2/2019,1917
4/2/2019,2021
4/2/2019,2071
4/2/2019,2021
4/2/2019,1995
4/2/2019,2046
4/2/2019,2021
4/3/2019,1995
4/3/2019,2046
4/3/2019,1890
4/3/2019,1943
4/3/2019,2021
4/3/2019,1995
4/3/2019,2021
4/3/2019,2071
4/3/2019,1995
4/3/2019,2071
4/3/2019,2071
4/3/2019,2021
4/4/2019,2071
4/4/2019,1943
4/4/2019,2071
4/4/2019,1970
4/4/2019,1917
4/4/2019,2046
4/4/2019,2021
4/4/2019,1995
4/4/2019,2021
4/4/2019,1970
4/4/2019,2119
4/4/2019,2071
4/5/2019,2021
4/5/2019,2071
4/5/2019,2021
4/5/2019,2046
4/5/2019,2119
4/5/2019,1995
4/5/2019,1995
4/5/2019,2021
4/5/2019,2046
4/5/2019,2143
4/5/2019,2095
4/6/2019,2119
4/6/2019,2095
4/6/2019,2143
4/6/2019,2143
4/6/2019,2143
4/6/2019,2167
4/6/2019,1807
4/6/2019,2119
4/6/2019,2119
4/6/2019,2046
4/6/2019,2046
4/6/2019,2119
4/7/2019,2071
4/7/2019,2021
4/7/2019,2095
4/7/2019,2119
4/7/2019,2119
4/7/2019,2046
4/7/2019,2095
4/7/2019,1943
4/7/2019,2071
4/7/2019,2021
4/9/2019,2143
4/9/2019,1863
4/9/2019,2071
4/10/2019,2046
4/10/2019,2370
4/10/2019,2095
4/10/2019,2046
4/10/2019,2071
4/10/2019,2095
4/10/2019,2167
4/10/2019,2119
4/10/2019,2143
4/11/2019,2119
4/11/2019,2119
4/11/2019,2071
4/11/2019,2071
4/11/2019,2071
4/11/2019,2046
4/11/2019,2167
4/11/2019,2214
4/11/2019,2167
4/11/2019,2143
4/11/2019,2119
4/11/2019,2095
4/12/2019,2119
4/12/2019,2190
4/12/2019,2071
4/12/2019,2190
4/12/2019,2095
4/12/2019,2167
4/12/2019,2095
4/12/2019,2046
4/12/2019,2071
4/12/2019,1995
4/12/2019,2095
4/12/2019,2095
4/13/2019,2143
4/13/2019,2167
4/13/2019,2095
4/13/2019,2119
4/13/2019,2095
4/13/2019,2071
4/13/2019,2071
4/13/2019,2095
4/13/2019,2071
4/13/2019,2143
4/13/2019,2190
4/14/2019,2143
4/14/2019,1943
4/14/2019,2119
4/14/2019,2021
4/14/2019,2046
4/14/2019,2095
4/14/2019,2143
4/14/2019,2095
4/14/2019,2095
4/14/2019,2095
4/14/2019,2119
4/14/2019,1970
4/15/2019,2143
4/15/2019,2095
4/15/2019,2119
4/15/2019,2095
4/15/2019,2237
4/15/2019,2259
4/15/2019,2190
4/15/2019,2214
4/15/2019,2119
4/15/2019,2167
4/16/2019,2119
4/16/2019,2119
4/16/2019,2190
4/16/2019,2167
4/16/2019,2071
4/16/2019,2119
4/16/2019,2021
4/16/2019,2095
4/16/2019,2071
4/16/2019,2095
4/16/2019,2190
4/16/2019,2237
4/17/2019,2214
4/17/2019,2190
4/17/2019,2214
4/17/2019,2190
4/17/2019,2119
4/17/2019,2071
4/17/2019,2071
4/17/2019,2021
4/17/2019,2046
4/17/2019,2046
4/17/2019,2237
4/17/2019,2095
4/18/2019,2021
4/18/2019,2143
4/18/2019,2095
4/18/2019,2095
4/18/2019,2071
4/18/2019,2071
4/18/2019,2095
4/18/2019,2095
4/18/2019,2143
4/18/2019,2143
4/18/2019,2046
4/18/2019,2214
4/19/2019,2190
4/19/2019,2071
4/19/2019,2021
4/19/2019,2046
4/19/2019,2071
4/19/2019,2095
4/19/2019,2119
4/19/2019,2119
4/19/2019,2167
4/19/2019,2119
4/19/2019,2071
4/19/2019,2119
4/20/2019,2046
4/20/2019,2046
4/20/2019,1917
4/20/2019,2071
4/20/2019,2071
4/20/2019,1995
4/20/2019,2071
4/20/2019,2046
4/20/2019,2143
4/20/2019,2071
4/20/2019,2143
4/20/2019,2071
4/21/2019,2119
4/21/2019,2095
4/21/2019,2046
4/21/2019,2071
4/21/2019,2095
4/21/2019,2095
4/21/2019,2046
4/21/2019,1943
4/21/2019,2167
4/21/2019,2119
4/21/2019,1943
4/21/2019,1890
4/22/2019,1779
4/22/2019,2071
4/22/2019,2214
4/22/2019,2190
4/22/2019,2190
4/22/2019,2143
4/22/2019,2095
4/22/2019,2021
4/22/2019,2071
4/22/2019,2095
4/22/2019,1970
4/22/2019,2214
4/23/2019,2143
4/23/2019,2304
4/23/2019,2071
4/23/2019,2214
4/23/2019,2237
4/23/2019,2237
4/23/2019,2259
4/23/2019,2190
4/23/2019,2143
4/23/2019,2190
4/23/2019,1970
4/23/2019,2214
4/24/2019,2190
4/24/2019,2214
4/24/2019,2214
4/24/2019,2190
4/24/2019,2119
4/24/2019,2190
4/24/2019,2095
4/24/2019,2095
4/24/2019,2095
4/24/2019,2095
4/25/2019,2071
4/25/2019,2119
4/25/2019,2190
4/25/2019,2190
4/25/2019,2190
4/25/2019,2214
4/25/2019,2214
4/25/2019,2237
4/25/2019,2237
4/25/2019,2143
4/26/2019,2167
4/26/2019,2237
4/26/2019,2021
4/26/2019,1970
4/26/2019,1995
4/26/2019,2071
4/26/2019,2259
4/26/2019,2326
4/26/2019,2282
4/26/2019,2214
4/26/2019,2237
4/26/2019,2190
4/27/2019,2143
4/27/2019,2214
4/27/2019,2071
4/27/2019,2259
4/27/2019,2326
4/27/2019,2259
4/27/2019,2348
4/27/2019,2259
4/27/2019,2326
4/27/2019,2348
4/27/2019,2237
4/27/2019,2259
4/28/2019,2214
4/28/2019,2370
4/28/2019,2259
4/28/2019,2237
4/28/2019,2190
4/28/2019,2259
4/28/2019,2071
4/28/2019,2282
4/28/2019,2021
4/28/2019,2167
4/28/2019,2214
4/28/2019,2214
4/29/2019,2214
4/29/2019,2214
4/29/2019,2214
4/29/2019,2190
4/29/2019,2190
4/29/2019,2095
4/29/2019,2143
4/29/2019,2021
4/29/2019,2119
4/29/2019,2304
4/29/2019,2214
4/30/2019,2143
4/30/2019,2119
4/30/2019,2259
4/30/2019,2237
4/30/2019,2237
4/30/2019,2095
4/30/2019,2143
4/30/2019,2143
4/30/2019,2167
4/30/2019,2167
4/30/2019,2167
4/30/2019,2214
5/1/2019,2095
5/1/2019,2071
5/1/2019,2190
5/1/2019,2119
5/1/2019,2143
5/1/2019,2119
5/1/2019,2214
5/1/2019,2259
5/1/2019,2119
5/1/2019,2190
5/1/2019,2190
5/1/2019,2143
5/2/2019,2167
5/2/2019,2143
5/2/2019,2143
5/2/2019,2167
5/2/2019,2214
5/2/2019,2167
5/2/2019,1995
5/2/2019,2095
5/2/2019,2119
5/2/2019,2143
5/2/2019,2143
5/3/2019,2046
5/3/2019,2143
5/3/2019,2119
5/3/2019,2214
5/3/2019,2046
5/3/2019,2190
5/3/2019,2190
5/3/2019,2167
5/3/2019,2167
5/3/2019,2190
5/3/2019,2190
5/3/2019,2190
5/4/2019,2190
5/4/2019,2190
5/4/2019,2214
5/4/2019,2282
5/4/2019,2259
5/4/2019,2119
5/4/2019,2167
5/4/2019,2046
5/4/2019,2214
5/4/2019,2071
5/4/2019,1943
5/4/2019,2282
5/5/2019,2237
5/5/2019,2119
5/5/2019,2326
5/5/2019,2190
5/5/2019,2237
5/5/2019,2282
5/5/2019,2259
5/5/2019,2214
5/5/2019,2214
5/6/2019,2119
5/6/2019,2237
5/6/2019,2190
5/6/2019,2167
5/6/2019,2190
5/6/2019,2095
5/6/2019,2046
5/6/2019,2304
5/6/2019,2259
5/6/2019,2259
5/6/2019,2259
5/7/2019,2237
5/7/2019,2237
5/7/2019,2214
5/7/2019,2259
5/7/2019,2214
5/7/2019,2167
5/7/2019,2190
5/7/2019,2143
5/7/2019,2237
5/7/2019,2167
5/7/2019,2214
5/7/2019,2143
5/8/2019,2237
5/8/2019,2119
5/8/2019,2167
5/8/2019,2143
5/8/2019,2143
5/8/2019,2143
5/8/2019,2237
5/9/2019,2167
5/9/2019,2190
5/9/2019,2214
5/9/2019,2119
5/9/2019,2119
5/9/2019,2167
5/9/2019,2095
5/9/2019,2095
5/9/2019,2119
5/9/2019,2237
5/9/2019,2021
5/10/2019,2143
5/10/2019,2143
5/10/2019,2190
5/10/2019,2190
5/10/2019,2237
5/10/2019,2167
5/10/2019,2167
5/10/2019,2167
5/10/2019,2190
5/10/2019,2190
5/10/2019,2259
5/10/2019,2143
5/11/2019,2190
5/11/2019,2237
5/11/2019,2237
5/11/2019,2190
5/11/2019,2143
5/11/2019,2190
5/11/2019,2119
5/11/2019,2167
5/11/2019,2167
5/11/2019,2190
5/11/2019,2214
5/11/2019,2259
5/12/2019,2190
5/12/2019,2190
5/12/2019,1995
5/12/2019,1917
5/12/2019,2259
5/13/2019,2143
5/13/2019,2119
5/13/2019,2214
5/13/2019,2021
5/13/2019,2095
5/13/2019,2326
5/13/2019,2259
5/13/2019,2046
5/13/2019,2095
5/13/2019,2021
5/13/2019,2095
5/13/2019,2095
5/14/2019,2143
5/14/2019,2167
5/14/2019,2143
5/14/2019,2167
5/14/2019,2143
5/14/2019,2190
5/14/2019,2143
5/14/2019,2119
5/14/2019,2237
5/14/2019,2259
5/14/2019,2282
5/14/2019,2214
5/15/2019,2259
5/15/2019,2119
5/15/2019,2167
5/15/2019,2143
5/15/2019,2167
5/15/2019,2095
5/15/2019,2237
5/15/2019,2143
5/15/2019,2259
5/15/2019,2190
5/16/2019,2190
5/16/2019,2237
5/16/2019,2214
5/16/2019,2237
5/16/2019,2167
5/16/2019,2071
5/16/2019,2071
5/16/2019,2143
5/16/2019,2167
5/16/2019,2046
5/16/2019,2095
5/17/2019,2071
5/17/2019,2304
5/17/2019,2237
5/17/2019,2167
5/17/2019,2071
5/17/2019,2143
5/17/2019,2143
5/17/2019,2119
5/17/2019,2119
5/17/2019,2167
5/17/2019,2167
5/18/2019,2119
