Date,Tfe_Before_Mixer
3/21/2019,66.64
3/21/2019,66.88
3/21/2019,67.35
3/22/2019,66.9
3/22/2019,66.88
3/22/2019,67.12
3/23/2019,66.83
3/23/2019,66.98
3/23/2019,66.64
3/24/2019,67
3/24/2019,66.86
3/24/2019,66.88
3/25/2019,66.88
3/25/2019,67.34
3/25/2019,66.98
3/26/2019,66.64
3/26/2019,67.33
3/26/2019,66.98
3/27/2019,66.98
3/27/2019,67.12
3/27/2019,66.98
3/28/2019,66.62
3/28/2019,66.64
3/28/2019,66.7
3/29/2019,66.64
3/29/2019,67.35
3/29/2019,66.88
3/30/2019,67.28
3/30/2019,66.64
3/30/2019,67.45
3/31/2019,67.3
3/31/2019,67.22
3/31/2019,67.38
4/1/2019,67.12
4/1/2019,67.22
4/1/2019,67.12
4/2/2019,67.12
4/2/2019,67.12
4/2/2019,67.22
4/3/2019,67.12
4/3/2019,66.85
4/3/2019,66.98
4/4/2019,66.88
4/4/2019,66.64
4/4/2019,66.9
4/5/2019,67.1
4/5/2019,66.88
4/5/2019,67.2
4/6/2019,66.86
4/6/2019,66.64
4/6/2019,66.76
4/7/2019,67.1
4/7/2019,67.35
4/7/2019,67.12
4/10/2019,66.57
4/10/2019,66.98
4/11/2019,66.98
4/11/2019,66.88
4/11/2019,66.9
4/12/2019,67.12
4/12/2019,67.35
4/12/2019,67.12
4/13/2019,67.22
4/13/2019,67
4/13/2019,67
4/14/2019,66.86
4/14/2019,67.59
4/14/2019,67.59
4/15/2019,66.9
4/15/2019,67.11
4/15/2019,67.59
4/16/2019,67.1
4/16/2019,67.22
4/16/2019,67.35
4/17/2019,66.88
4/17/2019,66.97
4/17/2019,67.2
4/18/2019,66.88
4/18/2019,67.3
4/18/2019,67
4/19/2019,66.53
4/19/2019,66.45
4/19/2019,66.81
4/20/2019,66.37
4/20/2019,67.02
4/20/2019,66
4/21/2019,67.02
4/21/2019,67.13
4/21/2019,67.5
4/22/2019,67.04
4/22/2019,67.26
4/22/2019,67.02
4/23/2019,67.05
4/23/2019,66.81
4/23/2019,67.02
4/24/2019,67.33
4/24/2019,66.36
4/24/2019,67.26
4/25/2019,67.47
4/25/2019,67.25
4/25/2019,66.82
4/26/2019,67.24
4/26/2019,67.57
4/26/2019,66.58
4/27/2019,66.8
4/27/2019,67.13
4/27/2019,67.25
4/28/2019,66.8
4/28/2019,67.36
4/28/2019,67.05
4/29/2019,67.24
4/29/2019,67.02
4/29/2019,67.13
4/30/2019,67.02
4/30/2019,67.02
4/30/2019,67.47
5/1/2019,67.13
5/1/2019,67.25
5/1/2019,67.02
5/2/2019,67.47
5/2/2019,67.25
5/2/2019,67.25
5/3/2019,67.58
5/3/2019,67.58
5/3/2019,67.25
5/3/2019,67.36
5/4/2019,67.69
5/4/2019,67.58
5/4/2019,67.65
5/5/2019,67.25
5/5/2019,67.58
5/5/2019,66.92
5/6/2019,66.8
5/6/2019,67.02
5/6/2019,66.91
5/7/2019,66.58
5/7/2019,66.8
5/7/2019,67.47
5/8/2019,66.58
5/8/2019,67.37
5/8/2019,66.82
5/9/2019,67
5/9/2019,66.8
5/9/2019,66.8
5/10/2019,67.65
5/10/2019,66.86
5/10/2019,66.8
5/11/2019,66.8
5/11/2019,66.7
5/11/2019,66.57
