Date,FeO_Before_Mixer
3/21/2019,21.51
3/21/2019,21.97
3/21/2019,21.66
3/22/2019,21.47
3/22/2019,21.66
3/22/2019,21.66
3/23/2019,21.47
3/23/2019,22.08
3/23/2019,20.82
3/24/2019,21.36
3/24/2019,21
3/24/2019,21.36
3/25/2019,21.38
3/25/2019,22.69
3/25/2019,22.23
3/26/2019,21.05
3/26/2019,21.5
3/26/2019,21.77
3/27/2019,22.27
3/27/2019,20.9
3/27/2019,21.77
3/28/2019,20.7
3/28/2019,20.9
3/28/2019,22.69
3/29/2019,21.46
3/29/2019,21.66
3/29/2019,22.27
3/30/2019,23.1
3/30/2019,22.43
3/30/2019,22.73
3/31/2019,23.61
3/31/2019,23
3/31/2019,23.96
4/1/2019,24.1
4/1/2019,24.22
4/1/2019,23.64
4/2/2019,22.73
4/2/2019,24.25
4/2/2019,24.07
4/3/2019,23.95
4/3/2019,22.65
4/3/2019,23.92
4/4/2019,22.73
4/4/2019,23.65
4/4/2019,22.69
4/5/2019,22.69
4/5/2019,21.51
4/5/2019,22.68
4/6/2019,22.54
4/6/2019,21.51
4/6/2019,21.2
4/7/2019,22.88
4/7/2019,21.81
4/7/2019,22.88
4/10/2019,21.05
4/10/2019,21.77
4/11/2019,21.51
4/11/2019,23.11
4/11/2019,20.7
4/12/2019,21.59
4/12/2019,20.14
4/12/2019,21.97
4/13/2019,22.23
4/13/2019,21.36
4/13/2019,21.05
4/14/2019,21.46
4/14/2019,23.19
4/14/2019,23.04
4/15/2019,22.5
4/15/2019,22.88
4/15/2019,22.27
4/16/2019,21.89
4/16/2019,22.23
4/16/2019,21.05
4/17/2019,21.81
4/17/2019,21.46
4/17/2019,21.66
4/18/2019,22.81
4/18/2019,21.8
4/18/2019,23.4
4/19/2019,21.05
4/19/2019,21.81
4/19/2019,20.6
4/20/2019,19.26
4/20/2019,21.7
4/20/2019,19.6
4/21/2019,22.78
4/21/2019,22.85
4/21/2019,23.5
4/22/2019,22.57
4/22/2019,22.28
4/22/2019,22.7
4/23/2019,22.78
4/23/2019,22.28
4/23/2019,22.27
4/24/2019,22.3
4/24/2019,22.49
4/24/2019,23.57
4/25/2019,23.71
4/25/2019,23.36
4/25/2019,21.56
4/26/2019,21.7
4/26/2019,22.35
4/26/2019,21.34
4/27/2019,21.13
4/27/2019,21.68
4/27/2019,21.19
4/28/2019,20.55
4/28/2019,22.13
4/28/2019,21.99
4/29/2019,21.34
4/29/2019,21.7
4/29/2019,22.2
4/30/2019,21.92
4/30/2019,21.27
4/30/2019,22.13
5/1/2019,20.97
5/1/2019,21.85
5/1/2019,21.7
5/2/2019,21.99
5/2/2019,22.49
5/2/2019,21.7
5/3/2019,22.56
5/3/2019,22.78
5/3/2019,21.85
5/4/2019,22.27
5/4/2019,22.99
5/4/2019,22.71
5/5/2019,22.27
5/5/2019,22.13
5/5/2019,22.64
5/6/2019,21.41
5/6/2019,22.13
5/6/2019,23.85
5/7/2019,23.22
5/7/2019,22.27
5/7/2019,22.78
5/8/2019,24.23
5/8/2019,23.25
5/8/2019,23.53
5/9/2019,21.8
5/9/2019,22.42
5/9/2019,23.14
5/10/2019,23.85
5/10/2019,23.42
5/10/2019,22.13
5/11/2019,23.28
5/11/2019,23.86
5/11/2019,23.57
5/12/2019,24.57
5/12/2019,20.54
5/12/2019,23.32
5/13/2019,22.85
5/13/2019,24
5/13/2019,23.33
5/14/2019,23.14
5/14/2019,24.14
5/14/2019,24.43
5/15/2019,23.61
5/15/2019,23.42
5/15/2019,22.85
5/16/2019,22.75
5/16/2019,23.28
5/16/2019,22.42
5/17/2019,23.17
5/17/2019,21.27
5/17/2019,21.56
5/18/2019,21.41
5/18/2019,21.31
5/18/2019,20.84
5/19/2019,21.7
5/19/2019,21.41
5/19/2019,21.12
5/20/2019,21.99
5/20/2019,21.99
5/20/2019,21.31
5/21/2019,20.84
5/21/2019,22.17
5/21/2019,20.88
5/22/2019,19.69
