Date,Moisture_600,Blaine_After_HPGR,Tfe_Before_Mixer,FeO_Before_Mixer,Online_hours,Grate_Feed(ton),Grate_Speed(rpm),Depth(mm),EP1_Temp(deg),EP2_Temp(deg),Grate_Zoon3_Temp(deg),Grate_Zoon4_Temp(deg),Amb_Temp(deg),KL1_Speed(rpm),AN1_Speed(rpm),730FN1_Damper,730FN1_Amp,AN1_Zoon3_Temp(deg),Gas_Consumption(Nm3)
3/22/2019,9.068055556,1944.333333,66.94333333,21.59666667,23,12130.79,6.178098561,129.9774069,113.8305191,96.92482292,823.695961,947.9184064,16.42699605,1.720462528,1.722029334,33.12826087,185.0639124,141.6283641,196364
3/23/2019,8.997183099,2014,66.87333333,21.42,23.53333333,12383.61,6.197216913,130.2676443,111.2307167,97.94528377,791.4772521,928.6871251,16.3672893,1.720707596,1.634923735,32.50138889,183.8922938,145.5704808,209304
3/24/2019,8.795833333,2036.909091,66.87333333,21.24666667,23.4,12413.71,5.976046209,133.6782194,111.9997936,99.24307639,830.765571,939.6564207,18.87677788,1.720636346,1.650556169,31.96180556,180.6303651,173.1272358,206200
3/25/2019,8.850535714,2028.555556,66.98666667,21.99,23.58333333,12277.02,5.978727946,129.6169045,114.0685546,102.2561672,825.5510904,924.538606,21.23660074,1.720820687,1.59027283,31.49305556,177.2204923,179.2812103,203772
3/26/2019,9.006060606,2034.181818,67.09666667,21.84666667,19.88333333,9942.13,4.718884999,138.9999356,115.8778551,100.1227622,724.071424,910.2412502,18.89651094,1.708229574,1.278280003,26.13506944,163.0962997,129.4309604,200120
3/27/2019,8.844285714,2027.181818,66.90666667,21.12333333,24,12960.56,6.127893795,135.6703461,111.6817446,98.91212397,847.0141012,941.2162931,14.65257626,1.721047976,1.667045904,32.16180556,179.7250729,167.0439512,209104
3/28/2019,8.845454545,1998.5,66.66,21.68333333,22.61666667,11750.39,5.493173686,133.2677063,123.8596265,100.1781968,779.542775,924.9914925,17.46495175,1.724877039,1.516804644,30.43125,175.6073909,146.7595983,201400
3/29/2019,8.818055556,2001.5,67.17,22.34333333,23.31666667,12608.12,5.769720734,135.9768634,115.6557759,96.61729441,798.0225201,928.9921358,16.30457988,1.720919678,1.635410332,31.86944444,181.6279775,144.0891478,206932
3/30/2019,8.879166667,1973.75,67.13,22.92333333,24,13349.91,6.059705349,139.0763708,110.0450365,98.63541743,840.0097786,920.2749359,18.92678088,1.721071134,1.736866051,32.55486111,183.1685186,181.9281205,203024
3/31/2019,8.847222222,1959.75,67.24,23.68666667,24,13318.52,6.039221456,138.1317934,110.9793592,100.5862198,846.4580507,918.6601736,19.30224773,1.720980337,1.705506051,32.64375,181.5772184,198.5628226,203080
4/1/2019,8.909722222,2004.363636,67.15333333,23.53,24,13130.03,5.985252157,136.5441516,109.6818975,102.5332069,854.4822997,907.3520736,19.3134823,1.721055339,1.706539178,32.42708333,179.5488537,198.5628226,196776
4/2/2019,8.8625,1988.083333,67.15333333,24.09,24,12756.55,6.020266966,127.4646937,113.0031538,99.58430593,831.1733549,914.0030309,22.63626783,1.721128949,1.66951628,32.19305556,176.7228935,192.4817528,198984
4/3/2019,9.023611111,2024.5,66.90333333,23.1,24,12812.5,5.905957966,130.099218,120.2097481,103.539664,835.5546526,904.8438904,20.26271231,1.720999297,1.68522592,32.50347222,179.9763951,156.4133085,192104
4/4/2019,8.934722222,2020.25,66.88,23.01,24,12841.49,5.934414438,134.9384381,116.4171215,103.3036481,848.9044144,924.5996074,18.20432282,1.721024017,1.644809403,32.33472222,179.7696993,180.8931193,200028
4/5/2019,8.977777778,2074.272727,66.98,22.24333333,24,12940.89,5.923949152,135.7558113,118.5352105,105.4958008,844.1681167,921.8242019,19.18002274,1.720957977,1.66324419,32.29791667,180.0908257,163.3400196,199812
4/6/2019,9.034722222,2074.666667,66.83333333,21.86333333,24,13043.02,5.87725921,138.3762672,109.2951415,101.3035496,847.4210214,906.0877898,22.00006243,1.72111072,1.714635111,32.39027778,180.0354479,172.3384345,201916
4/7/2019,9,2059.142857,67.235,22.345,24,13149.89,5.961638997,135.2254357,113.7195903,99.43367416,834.6805001,921.5361472,20.79489506,1.720790548,1.687226829,32.74861111,181.2909307,189.345621,205932
4/11/2019,9.088888889,2122.75,66.96666667,21.8,24,11871.28,5.621840652,120.4638266,120.9592076,100.9264928,741.2258718,819.7040763,20.90508369,1.662395721,1.514972257,31.83472222,178.5588702,157.2762064,208928
4/12/2019,9.070833333,2104.5,67.23,21.44666667,23.68333333,12701.75,5.940090521,124.5007645,109.8788342,101.6235032,828.5009169,891.3563863,22.69133875,1.72054051,1.621448616,32.03611111,179.9278177,171.0975264,202464
4/13/2019,8.923188406,2096.363636,66.95333333,21.29,23.78333333,13011.05,5.890584538,129.5839238,111.8844672,100.0430112,829.0332119,887.9899789,21.39809833,1.720604263,1.674464178,32.34583333,180.6775471,166.5950499,202040
4/14/2019,8.876388889,2086.333333,67.36,22.91,22.68333333,12010.12,5.421352995,133.7875815,109.5768166,98.97441267,809.753872,917.5678892,19.11491945,1.720777699,1.515427522,31.07083333,177.1996154,165.0974777,207164
4/15/2019,8.938888889,2170.9,67.26666667,22.34666667,24,12715.95,5.908973891,130.2260473,116.5197384,99.92456653,836.8166876,899.9332913,18.08647139,1.720811762,1.613166682,32.13611111,180.7641169,182.3820713,201232
4/16/2019,8.944444444,2140.333333,67.15,21.69666667,23.78333333,12716.25,5.755729478,131.4916566,110.5440829,98.34935878,834.013771,930.524548,22.18045227,1.72073044,1.615130547,32.40694444,180.153543,189.6109744,205104
